date,total_clones,unique_clones
2022-09-08,5,3
2022-09-09,1,1
2022-09-10,1,1
2022-09-11,1,1
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,2,2
2022-09-15,1,1
2022-09-16,1,1
2022-09-17,2,2
2022-09-18,1,1
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,1,1
2022-09-22,1,1
2022-09-23,2,2
2022-09-24,1,1
2022-09-25,1,1
2022-09-26,1,1
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,3,3
2022-09-30,1,1
2022-10-01,3,3
2022-10-02,2,2
2022-10-03,1,1
2022-10-04,1,1
2022-10-05,2,2
2022-10-06,1,1
2022-10-07,2,2
2022-10-08,3,2
2022-10-09,3,2
2022-10-10,1,1
2022-10-11,1,1
2022-10-12,4,3
2022-10-13,3,2
2022-10-14,5,4
2022-10-15,3,2
2022-10-16,4,3
2022-10-17,4,3
2022-10-18,3,2
2022-10-19,3,2
2022-10-20,1,1
2022-10-21,1,1
2022-10-22,4,3
2022-10-23,3,2
2022-10-24,4,3
2022-10-25,7,6
2022-10-26,1,1
2022-10-27,1,1
2022-10-28,3,3
2022-10-29,1,1
2022-10-30,4,3
2022-10-31,4,3
2022-11-01,4,3
2022-11-02,2,2
2022-11-03,2,2
2022-11-04,1,1
2022-11-05,1,1
2022-11-06,1,1
2022-11-07,2,2
2022-11-08,1,1
2022-11-09,4,4
2022-11-10,1,1
2022-11-11,1,1
2022-11-12,3,3
2022-11-13,1,1
2022-11-14,2,2
2022-11-15,1,1
2022-11-16,1,1
2022-11-17,1,1
2022-11-18,3,2
2022-11-19,3,2
2022-11-20,1,1
2022-11-21,4,3
2022-11-22,3,2
2022-11-23,1,1
2022-11-24,1,1
2022-11-25,1,1
2022-11-26,1,1
2022-11-27,1,1
2022-11-28,3,2
2022-11-29,4,3
2022-11-30,1,1
2022-12-01,1,1
2022-12-02,1,1
2022-12-03,3,2
2022-12-04,1,1
2022-12-05,1,1
2022-12-06,2,1
2022-12-07,5,3
2022-12-08,3,3
2022-12-09,1,1
2022-12-10,1,1
2022-12-11,2,2
2022-12-12,2,1
2022-12-13,1,1
2022-12-14,2,1
2022-12-15,1,1
2022-12-16,2,1
2022-12-17,3,2
2022-12-18,4,3
2022-12-19,3,3
2022-12-20,1,1
2022-12-21,4,3
2022-12-22,3,2
2022-12-23,1,1
2022-12-24,4,3
2022-12-25,4,3
2022-12-26,4,3
2022-12-27,3,2
2022-12-28,5,4
2022-12-29,4,3
2022-12-30,6,5
2022-12-31,5,4
2023-01-01,1,1
2023-01-02,4,3
2023-01-03,7,4
2023-01-04,8,5
2023-01-05,5,4
2023-01-06,4,3
2023-01-07,4,3
2023-01-08,4,3
2023-01-09,6,5
2023-01-10,5,4
2023-01-11,3,2
2023-01-12,3,2
2023-01-13,3,2
2023-01-14,3,2
2023-01-15,0,0
